StoreNum	TextRestaurant	Patio	TextPatio	Banquets	Braille	LargePrint	Spanish	Japanese	Korean	Chinese
1	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
2	Have your next event at The Cheesecake Factory!  Our Beachfront Cafe can host large parties and banquets of up to 200 guests.	1	This unique location offers outdoor seating with an unbelievable on-the-water view (seasonal umbrellas and heaters are plentiful). 	1	1	1	0	0	0	0
3		1	Patio seating is available.	1	1	1	0	0	0	0
4	Our indoor banquet facility can accommodate parties of up to 55 guests and parties of up to 120 guests can be accommodated on our patio	1	Patio seating is available.	1	1	1	0	0	0	0
5	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
6	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
8	Have your next event at The Cheesecake Factory!  Banquet facilities are available and we can accommodate parties of up to 100 guests on our enclosed veranda.	1	Veranda seating is available.	1	1	1	0	0	0	0
9	We can accomodate parties of up to 40. Please call the restaurant for available days and times.	0		0	1	1	0	0	0	0
10	We can accommodate parties of up to 65 guests in our veranda area.	0		0	1	1	0	0	0	0
11	We can accommodate parties of up to 50 guests.	0		0	1	1	0	0	0	0
12	Have your next event at The Cheesecake Factory!  We offer our Cafe as a banquet facility at certain times and days of the year. For more information or to book a party please call 312-409-7187.	1	Patio seating is available.	1	1	1	0	0	0	0
13	We can easily accommodate parties of up to 60 guests.	0		0	1	1	0	0	0	0
14	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
15	Have your next event at The Cheesecake Factory!  We have banquet facilities available for parties of 25 to 40 guests.	0		1	1	1	0	0	0	0
16	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
17	We can accommodate parties of up to 40 people.	1	Patio seating is available.	0	1	1	0	0	0	0
18	We can easily accommodate parties up to 35 guests.	0		0	1	1	0	0	0	0
19	Have your next event at The Cheesecake Factory!  We offer banquet facilities that can accommodate up to 90 guests.	1	Patio seating is available.	1	1	1	0	0	0	0
20	We can easily accommodate large parties.	0		0	1	1	0	0	0	0
21	We can easily accommodate large parties.	0		0	1	1	0	0	0	0
22	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
23	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
24	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
25	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
26	We can accommodate parties of up to 24 people.	1	Patio seating is available.	0	1	1	0	0	0	0
27	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
28	We can accommodate parties up to 40 people.	1	Patio seating is available.	0	1	1	0	0	0	0
29	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
30	We can easily accommodate large parties.<br><br>Reservations are accepted for parties of 7 or more Mon - Fri from 11:30AM - 12:00PM.	1	Patio seating is available.	0	1	1	0	0	0	0
31	We can easily accommodate large parties.	1	We offer beautiful patio dining that faces historic Pearl Street from late-March through Thanksgiving.	0	1	1	0	0	0	0
32	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
33	We can easily accommodate parties up to 25 people.	1	Patio seating is available.	0	1	1	0	0	0	0
34	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
35	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
36	Our dining room can easily accommodate parties up to 35 guests.	1	Patio seating is available.	0	1	1	0	0	0	0
37	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
38	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
39	We can easily accommodate parties of up to 35 guests.	1	Patio seating is available.	0	1	1	0	0	0	0
40	We can easily accommodate large parties.	0		0	1	1	0	0	0	0
41	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
42	We can easily accommodate parties up to 50 guests.	1	"Patio seating is available with heaters music ceiling fans and """"misters"""" for those dry warm days and nights in the desert."	0	1	1	0	0	0	0
43	We can easily accommodate parties of up to 25 guests.	1	"Patio seating is available with heaters music ceiling fans and """"misters"""" for those dry warm days and nights in the desert."	0	1	1	0	0	0	0
44	We can accommodate your party of up to 35 guests on our enclosed patio or inside the restaurant.	1	"Patio seating is available with heaters music ceiling fans and """"misters"""" for those dry warm days and nights in the desert."	0	1	1	0	0	0	0
45	We can easily accommodate large parties.	1	"Patio seating is available with heaters music ceiling fans and """"misters"""" for those dry warm days and nights in the desert."	0	1	1	0	0	0	0
46	We can easily accommodate large parties.	1	"Patio seating is available with heaters music ceiling fans and """"misters"""" for those dry warm days and nights in the desert."	0	1	1	0	0	0	0
47	We can easily accommodate large parties.	1	"Patio seating is available with heaters music ceiling fans and """"misters"""" for those dry warm days and nights in the desert."	0	1	1	0	0	0	0
48	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
49	We can easily accommodate large parties.	1	Beautiful outdoor patio seating is available.	0	1	1	0	0	0	0
50	We are able to accommodate parties of up to 35 guests indoor and parties up to 65 on our outdoor patio.	1	Patio seating is available.	0	1	1	0	0	0	0
51	Our dining room can easily accommodate parties of up to 30 guests.	1	Patio seating is available.	0	1	1	0	0	0	0
52	We can easily accommodate large parties.	1	Patio seating is available.	0	1	1	0	0	0	0
53	We can easily accommodate large parties.	1	Patio dining is available.	0	1	1	0	0	0	0
54	We can easily accommodate large parties.	1	Patio dining is available.	0	1	1	0	0	0	0
55	We can easily accommodate large parties.	1	Outdoor patio seating is available.	0	1	1	0	0	0	0
